species,photo_id,url,license,author,author_login,observed_on,source_page,attribution,sha256
Caretta caretta,428968449,https://inaturalist-open-data.s3.amazonaws.com/photos/428968449/medium.jpeg,CC-BY 4.0,Michael Bommerer,michael_bommerer,2024-09-08,https://www.inaturalist.org/observations/240748882,"© Michael Bommerer, some rights reserved (CC-BY)",d6302c7745aa08940b99d633c98d5aeaae378fb09bba2ba12a5b111677cffc57
Caretta caretta,428968478,https://inaturalist-open-data.s3.amazonaws.com/photos/428968478/medium.jpeg,CC-BY 4.0,Michael Bommerer,michael_bommerer,2024-09-08,https://www.inaturalist.org/observations/240748882,"© Michael Bommerer, some rights reserved (CC-BY)",bd83c908528d99e666d8b7828b5e24c9053c07657d03894108deb0d0b4e8c8eb
Caretta caretta,1622197,https://inaturalist-open-data.s3.amazonaws.com/photos/1622197/medium.JPG,CC-BY 4.0,Annika Lindqvist,annikaml,2011-06-28,https://www.inaturalist.org/observations/1293229,"© Annika Lindqvist, some rights reserved (CC-BY)",7dc0c304fb1d1627b317464d1c28d53d285d5e0ca758b56b2ae4382bcc932103
Caretta caretta,1622593,https://inaturalist-open-data.s3.amazonaws.com/photos/1622593/medium.JPG,CC-BY 4.0,Annika Lindqvist,annikaml,2011-06-28,https://www.inaturalist.org/observations/1293229,"© Annika Lindqvist, some rights reserved (CC-BY)",93532d84320de6e5a707b9f9b200b109cdec501ebbc4f7f1dae7ac5289152523
Caretta caretta,240365505,https://inaturalist-open-data.s3.amazonaws.com/photos/240365505/medium.jpeg,CC-BY 4.0,shahar chaikin,shaharchaikin,2021-11-09,https://www.inaturalist.org/observations/140421321,"© shahar chaikin, some rights reserved (CC-BY)",56f5a612a557710c9086e1be4aa5ca6e84a2e1b3d22e3a0474e4d584db9b3df6
Caretta caretta,240365524,https://inaturalist-open-data.s3.amazonaws.com/photos/240365524/medium.jpeg,CC-BY 4.0,shahar chaikin,shaharchaikin,2021-11-09,https://www.inaturalist.org/observations/140421321,"© shahar chaikin, some rights reserved (CC-BY)",c206508b01c6e461e545e533e47a3392b685728dfec4d450e3d36b59a2029c37
Caretta caretta,406019077,https://inaturalist-open-data.s3.amazonaws.com/photos/406019077/medium.jpeg,CC-BY 4.0,Abigail Luxford-Noyes,aggie99,2024-07-08,https://www.inaturalist.org/observations/228427630,"© Abigail Luxford-Noyes, some rights reserved (CC-BY)",e062231c40ac5d29f0cbb62e3fd590b1eab7ea733c39fe8fa6538668eac77457
Caretta caretta,639535625,https://inaturalist-open-data.s3.amazonaws.com/photos/639535625/medium.jpg,CC-BY 4.0,Dan Schofield,djscho,2026-04-10,https://www.inaturalist.org/observations/350507108,"© Dan Schofield, some rights reserved (CC-BY)",e46f949294d4530adb6ef7f58843da0ebcfc0ddfd8f972d82d01e4666a087f9d
Caretta caretta,639535617,https://inaturalist-open-data.s3.amazonaws.com/photos/639535617/medium.jpg,CC-BY 4.0,Dan Schofield,djscho,2026-04-10,https://www.inaturalist.org/observations/350507108,"© Dan Schofield, some rights reserved (CC-BY)",a78a10044a31fbcbcf1c8b62e6fe187772bb6ba3c626b9afed741f958d022a25
Caretta caretta,593628582,https://inaturalist-open-data.s3.amazonaws.com/photos/593628582/medium.jpg,CC-BY 4.0,nbasargin,nbasargin,2025-08-25,https://www.inaturalist.org/observations/327649196,"© nbasargin, some rights reserved (CC-BY)",75af80a4030f1f5f5e41f41b2141a7cb1f07d528fb38b3ede47e19e322d72de1
Caretta caretta,593628568,https://inaturalist-open-data.s3.amazonaws.com/photos/593628568/medium.jpg,CC-BY 4.0,nbasargin,nbasargin,2025-08-25,https://www.inaturalist.org/observations/327649196,"© nbasargin, some rights reserved (CC-BY)",00a644650296d9e0f85c0ae9735957f1ac3f102c4c3819ef11a9fe383fe862da
Caretta caretta,579903312,https://inaturalist-open-data.s3.amazonaws.com/photos/579903312/medium.jpg,CC-BY 4.0,Julien Renoult,jujurenoult,2025-09-28,https://www.inaturalist.org/observations/320715712,"© Julien Renoult, some rights reserved (CC-BY)",f15ad3884314a06eb00b42e862e5e89857175bc3e22fb31cb8a4c5ae81045411
Caretta caretta,222165410,https://inaturalist-open-data.s3.amazonaws.com/photos/222165410/medium.jpeg,CC-BY 4.0,Sarah Faulwetter,sarahfaulwetter,2021-08-18,https://www.inaturalist.org/observations/130620742,"© Sarah Faulwetter, some rights reserved (CC-BY)",a47b087a89cfaf78309567b8a0c71ebfb524853a9868621fdacb7fba8b1e37a3
Caretta caretta,222165391,https://inaturalist-open-data.s3.amazonaws.com/photos/222165391/medium.jpeg,CC-BY 4.0,Sarah Faulwetter,sarahfaulwetter,2021-08-18,https://www.inaturalist.org/observations/130620742,"© Sarah Faulwetter, some rights reserved (CC-BY)",55ea89268e4a72ce6b8307d2345d97aec3fe77ca226c3b9c18cff7a356d23447
Caretta caretta,321326099,https://inaturalist-open-data.s3.amazonaws.com/photos/321326099/medium.jpeg,CC-BY 4.0,Dan Schofield,djscho,2023-06-24,https://www.inaturalist.org/observations/184111040,"© Dan Schofield, some rights reserved (CC-BY)",098dd64203f0b2aefe9dd701574dba7bf320e1be77b5153166c34819877da47f
Caretta caretta,314865447,https://inaturalist-open-data.s3.amazonaws.com/photos/314865447/medium.jpeg,CC-BY 4.0,Hugo Innes,hugo_innes,2023-08-07,https://www.inaturalist.org/observations/180727892,"© Hugo Innes, some rights reserved (CC-BY)",891c0664c36c122fc9dd7746e51831a567e8bffac21bb96b61ddc9faeff1d08d
