species,photo_id,url,license,author,author_login,observed_on,source_page,attribution,sha256,license_code,license_url,taxon_id,retrieved_utc
Chromis chromis,140362915,https://inaturalist-open-data.s3.amazonaws.com/photos/140362915/medium.jpg,CC-BY 4.0,Golfopolikayak,golfopolikayakl,2021-06-30,https://www.inaturalist.org/observations/85320605,"© Golfopolikayak, some rights reserved (CC-BY)",c3a3ee06f9b6d970c85c33ab0b5459b9330f05dfc8df09539f19da8e4928c8fa,cc-by,https://creativecommons.org/licenses/by/4.0/,118682,2026-09-26T05:34:04Z
Chromis chromis,685870887,https://inaturalist-open-data.s3.amazonaws.com/photos/685870887/medium.jpg,CC-BY 4.0,shahar chaikin,shaharchaikin,2026-06-24,https://www.inaturalist.org/observations/375197070,"© shahar chaikin, some rights reserved (CC-BY)",18353a3a4e4f8e3da3ed267caa83320f47e0a9381f790a30bcf0071819b71150,cc-by,https://creativecommons.org/licenses/by/4.0/,118682,2026-09-26T05:34:08Z
Chromis chromis,527922937,https://inaturalist-open-data.s3.amazonaws.com/photos/527922937/medium.jpg,CC-BY 4.0,Chris Taklis,ctaklis,2025-06-23,https://www.inaturalist.org/observations/293315703,"© Chris Taklis, some rights reserved (CC-BY)",8a90ed0182120cffe8148ff7cb233743179fb2a2b7bd592704928805627276d5,cc-by,https://creativecommons.org/licenses/by/4.0/,118682,2026-09-26T05:34:17Z
Chromis chromis,527923012,https://inaturalist-open-data.s3.amazonaws.com/photos/527923012/medium.jpg,CC-BY 4.0,Chris Taklis,ctaklis,2025-06-23,https://www.inaturalist.org/observations/293315703,"© Chris Taklis, some rights reserved (CC-BY)",70c3b939a1e538fb5ada935b0de887980e753da042e44ad15256bfdf1b3abfc9,cc-by,https://creativecommons.org/licenses/by/4.0/,118682,2026-09-26T05:34:15Z
Chromis chromis,315144956,https://inaturalist-open-data.s3.amazonaws.com/photos/315144956/medium.jpeg,CC-BY 4.0,Michael Berardozzi,berardom,2023-08-28,https://www.inaturalist.org/observations/180875716,"© Michael Berardozzi, some rights reserved (CC-BY)",0cb6286c8c47734452eae6b02464c341e318eda6dd632015617934470e530fbb,cc-by,https://creativecommons.org/licenses/by/4.0/,118682,2026-09-26T05:34:17Z
Chromis chromis,556107051,https://inaturalist-open-data.s3.amazonaws.com/photos/556107051/medium.jpg,CC-BY 4.0,Andrea Adelfio,andreaadelfio,2025-08-03,https://www.inaturalist.org/observations/308384615,"© Andrea Adelfio, some rights reserved (CC-BY)",2858d4b369f6e396d2933344513a3dab64233627ae37fd7999111facddcfe249,cc-by,https://creativecommons.org/licenses/by/4.0/,118682,2026-09-26T05:34:19Z
Chromis chromis,556107139,https://inaturalist-open-data.s3.amazonaws.com/photos/556107139/medium.jpg,CC-BY 4.0,Andrea Adelfio,andreaadelfio,2025-08-03,https://www.inaturalist.org/observations/308384615,"© Andrea Adelfio, some rights reserved (CC-BY)",8e773a552f58952d98331274f2d4f0a928f8babded2349eff34d11a6a5b69b66,cc-by,https://creativecommons.org/licenses/by/4.0/,118682,2026-09-26T05:34:20Z
Chromis chromis,164945059,https://inaturalist-open-data.s3.amazonaws.com/photos/164945059/medium.jpg,CC-BY 4.0,Juraj Ahel,xeniorn,2018-08-18,https://www.inaturalist.org/observations/98998974,"© Juraj Ahel, some rights reserved (CC-BY)",25ce1c83db6ccfa067221f915a05d0bd5ce9c721f7d269803b8235c51dd33653,cc-by,https://creativecommons.org/licenses/by/4.0/,118682,2026-09-26T05:34:21Z
Chromis chromis,52423794,https://inaturalist-open-data.s3.amazonaws.com/photos/52423794/medium.jpeg,CC-BY 4.0,Eridan Xharahi,eridanxharahi,2019-09-10,https://www.inaturalist.org/observations/33380711,"© Eridan Xharahi, some rights reserved (CC-BY)",5d6c61ba61a528e1412e3ab3176bcb18254ea89d94e850a16c2fc6adb8566734,cc-by,https://creativecommons.org/licenses/by/4.0/,118682,2026-09-26T05:34:22Z
Chromis chromis,77059269,https://inaturalist-open-data.s3.amazonaws.com/photos/77059269/medium.jpeg,CC-BY 4.0,Chris Taklis,ctaklis,2020-06-05,https://www.inaturalist.org/observations/48573392,"© Chris Taklis, some rights reserved (CC-BY)",b70b1d723ae43d67f327e02c3927a6aad488ca0db6c104a13d4aa7fab3f75944,cc-by,https://creativecommons.org/licenses/by/4.0/,118682,2026-09-26T05:34:22Z
Chromis chromis,202944696,https://inaturalist-open-data.s3.amazonaws.com/photos/202944696/medium.jpeg,CC-BY 4.0,Chris Taklis,ctaklis,2022-06-01,https://www.inaturalist.org/observations/120018957,"© Chris Taklis, some rights reserved (CC-BY)",3c980e68d401097b2a3e610f8e02f5030a2dd67b7164e03c369ba90cff21a317,cc-by,https://creativecommons.org/licenses/by/4.0/,118682,2026-09-26T05:34:22Z
Chromis chromis,63579740,https://inaturalist-open-data.s3.amazonaws.com/photos/63579740/medium.jpeg,CC-BY 4.0,Yves Bas,yvesbas,2019-05-10,https://www.inaturalist.org/observations/40034692,"© Yves Bas, some rights reserved (CC-BY)",628a33e333de250ab4e7db68854b1399b01db121b4daaefb2ea03e27f4f1b312,cc-by,https://creativecommons.org/licenses/by/4.0/,118682,2026-09-26T05:34:23Z
Chromis chromis,63579762,https://inaturalist-open-data.s3.amazonaws.com/photos/63579762/medium.jpeg,CC-BY 4.0,Yves Bas,yvesbas,2019-05-10,https://www.inaturalist.org/observations/40034692,"© Yves Bas, some rights reserved (CC-BY)",3ad9694231bb45a5bef00f806cc158b8cdf543df65e1eb809b88029121194d46,cc-by,https://creativecommons.org/licenses/by/4.0/,118682,2026-09-26T05:34:23Z
Chromis chromis,230877026,https://inaturalist-open-data.s3.amazonaws.com/photos/230877026/medium.jpg,CC-BY 4.0,Juraj Ahel,xeniorn,2022-08-23,https://www.inaturalist.org/observations/135381944,"© Juraj Ahel, some rights reserved (CC-BY)",3b3569b06d515928ba6a2d4603ce49bc7604a7bfcc15bbaf0abffd4e24e378f9,cc-by,https://creativecommons.org/licenses/by/4.0/,118682,2026-09-26T05:34:23Z
Chromis chromis,228277042,https://inaturalist-open-data.s3.amazonaws.com/photos/228277042/medium.jpg,CC-BY 4.0,Juraj Ahel,xeniorn,2022-08-12,https://www.inaturalist.org/observations/133971594,"© Juraj Ahel, some rights reserved (CC-BY)",03062200af15a7ccf92b62d415bb9b5fdb6d5cf3082d1a845834cc06f0f0d0d4,cc-by,https://creativecommons.org/licenses/by/4.0/,118682,2026-09-26T05:34:24Z
Chromis chromis,313934541,https://inaturalist-open-data.s3.amazonaws.com/photos/313934541/medium.jpeg,CC-BY 4.0,Sarah Faulwetter,sarahfaulwetter,2023-08-26,https://www.inaturalist.org/observations/180246337,"© Sarah Faulwetter, some rights reserved (CC-BY)",f1ef811147e3ca137645b23306bd6f7636dd29ab4be4e5cfca0a52c6b7b41b3c,cc-by,https://creativecommons.org/licenses/by/4.0/,118682,2026-09-26T05:34:24Z
Chromis chromis,520664499,https://inaturalist-open-data.s3.amazonaws.com/photos/520664499/medium.jpg,CC-BY 4.0,Nicola Crockford,nicolacrockford,2025-06-09,https://www.inaturalist.org/observations/289475187,"© Nicola Crockford, some rights reserved (CC-BY)",2455452bf86677e49b7832885176319202a85c834c6ac06ab520c8249c05d759,cc-by,https://creativecommons.org/licenses/by/4.0/,118682,2026-09-26T05:34:24Z
Chromis chromis,704018397,https://inaturalist-open-data.s3.amazonaws.com/photos/704018397/medium.jpg,CC-BY 4.0,Gavin Skeen,gavin_skeen,2026-07-23,https://www.inaturalist.org/observations/384600322,"© Gavin Skeen, some rights reserved (CC-BY)",a3162c9cecb0f112ca098db5e85f0f30661429670911546aafa799bc3f302dd1,cc-by,https://creativecommons.org/licenses/by/4.0/,118682,2026-09-26T05:34:24Z
Chromis chromis,583957498,https://inaturalist-open-data.s3.amazonaws.com/photos/583957498/medium.jpg,CC-BY 4.0,Chris Procter,chrisprocter,2025-10-24,https://www.inaturalist.org/observations/322770425,"© Chris Procter, some rights reserved (CC-BY)",9deb113fa822b6ece75553b29b47a76c022deec2ca570c28007935a11a242355,cc-by,https://creativecommons.org/licenses/by/4.0/,118682,2026-09-26T05:34:24Z
